timestamp,key
1.75,i
3.55,i
5.29,i
5.45,i
11.67,1
11.89,2
12.6,d
13.7,2
14.2,2
15.7,2
16.56,2
22.0,w
23.4,2
25.5,1
31.8,2
33.5,1
35.2,2
35.75,1
36.35,1
37.5,s
58.0,2
78.4,1
80.0,d
80.5,2
81.75,d
87.9,2
90.7,2
93.0,w
93.3,i
96.15,2
97.0,w
138.0,i
140.5,i
142.3,1
142.75,2
148.45,1
153.75,w
154.0,s
156.1,1
159.5,s
160.0,w
161.0,s
162.1,d
168.53,1
170.0,w
189.0,i
189.25,i
189.5,i
193.0,1
193.5,2
194.0,1
194.3,d
195.0,d
195.25,a
196.0,w
197.0,1
197.75,2
198.6,a
199.0,1
199.4,2
199.65,1
202.6,2
204.0,w
205.0,d
205.1,2
206.0,a
207.0,w
208.0,d
223.5,2
225.0,w
226.05,1
226.6,2
227.5,w
